SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
MF,ABSLFTPFDQ,BIRLASLAMC - ABSLFTPFDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPFRQ,BIRLASLAMC - ABSLFTPFRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQRDQ,BIRLASLAMC - ABSLFTQRDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQRRQ,BIRLASLAMC - ABSLFTQRRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTRHRQ,BIRLASLAMC - ABSLFTRHRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTRHDQ,BIRLASLAMC - ABSLFTRHDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQPDQ,BIRLASLAMC - ABSLFTQPDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTOWRQ,BIRLASLAMC - ABSLFTOWRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTOWDQ,BIRLASLAMC - ABSLFTOWDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQPRQ,BIRLASLAMC - ABSLFTQPRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTRADQ,BIRLASLAMC - ABSLFTRADQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTRARQ,BIRLASLAMC - ABSLFTRARQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTOZRQ,BIRLASLAMC - ABSLFTOZRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTOZDQ,BIRLASLAMC - ABSLFTOZDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPCRQ,BIRLASLAMC - ABSLFTPCRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPCDQ,BIRLASLAMC - ABSLFTPCDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPORQ,BIRLASLAMC - ABSLFTPORQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPNRQ,BIRLASLAMC - ABSLFTPNRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPNDQ,BIRLASLAMC - ABSLFTPNDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPKDQ,BIRLASLAMC - ABSLFTPKDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPKRQ,BIRLASLAMC - ABSLFTPKRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPADQ,BIRLASLAMC - ABSLFTPADQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPARQ,BIRLASLAMC - ABSLFTPARQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPZRQ,BIRLASLAMC - ABSLFTPZRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPZDQ,BIRLASLAMC - ABSLFTPZDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTOYDQ,BIRLASLAMC - ABSLFTOYDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTOYRQ,BIRLASLAMC - ABSLFTOYRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTOXRQ,BIRLASLAMC - ABSLFTOXRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTOXDQ,BIRLASLAMC - ABSLFTOXDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQFDQ,BIRLASLAMC - ABSLFTQFDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQFRQ,BIRLASLAMC - ABSLFTQFRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQGRQ,BIRLASLAMC - ABSLFTQGRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQJRQ,BIRLASLAMC - ABSLFTQJRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPDRQ,BIRLASLAMC - ABSLFTPDRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPDDQ,BIRLASLAMC - ABSLFTPDDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPBRQ,BIRLASLAMC - ABSLFTPBRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPBDQ,BIRLASLAMC - ABSLFTPBDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPTDQ,BIRLASLAMC - ABSLFTPTDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPTRQ,BIRLASLAMC - ABSLFTPTRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQLDQ,BIRLASLAMC - ABSLFTQLDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQBDQ,BIRLASLAMC - ABSLFTQBDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
