MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,GPPL,GUJARAT PIPAVAV PORT LTD,        90.80,        91.15,        93.00,        91.15,        92.50,                 26930917.80,291932,N, ,2876,       105.90,        45.50
N,EQ,GPTINFRA,GPT INFRAPROJECTS LTD,        34.45,        35.60,        37.80,        34.15,        36.85,                  6807792.40,188516,N, ,1041,        45.95,        11.75
N,EQ,GRANULES,GRANULES INDIA LIMITED,       366.45,       368.00,       375.90,       364.00,       372.80,                572560312.75,1548124,N, ,41840,       437.95,       114.10
N,EQ,GRAPHITE,GRAPHITE INDIA LTD,       295.70,       297.20,       303.10,       292.45,       297.40,                359723283.80,1208273,N, ,20133,       329.80,       103.00
N,EQ,GRAVITA,GRAVITA INDIA LIMITED,        69.25,        70.20,        71.80,        68.95,        69.10,                 26858636.50,385042,N, ,2998,        71.80,        30.20
N,EQ,GREAVESCOT,GREAVES COTTON LTD.,        82.80,        83.85,        84.50,        81.00,        82.75,                 90343847.95,1084970,N, ,7367,       147.50,        66.00
N,EQ,GREENLAM,GREENLAM INDUSTRIES LTD.,       757.55,       769.95,       792.00,       746.65,       756.50,                  2959290.50,3838,N, ,381,      1045.40,       441.90
N,EQ,GREENPANEL,GREENPANEL INDUSTRIES LTD,       109.75,       115.00,       115.20,       112.00,       115.20,                  4382905.05,38121,N, ,227,       123.50,        24.00
N,EQ,GREENPLY,GREENPLY INDUSTRIES LTD,       111.80,       112.35,       115.90,       109.80,       111.00,                 91157111.40,812815,N, ,8994,       178.80,        72.90
N,EQ,GREENPOWER,ORIENT GREEN POWER CO LTD,         2.35,         2.45,         2.55,         2.40,         2.45,                 12086117.40,4858744,N, ,1601,         3.45,         1.20
N,EQ,GRINDWELL,GRINDWELL NORTON LIMITED,       679.55,       690.00,       720.00,       681.40,       703.05,                 67957992.45,96360,N, ,9070,       720.00,       373.55
N,EQ,GROBTEA,THE GROB TEA COMPANY LTD,       593.05,       551.95,       652.35,       551.95,       652.35,                  1996783.20,3126,N, ,523,       899.00,       210.30
N,EQ,GRPLTD,GRP LIMITED,       875.35,       904.05,       915.00,       855.05,       870.60,                  1584026.30,1800,N, ,357,      1099.00,       462.50
N,EQ,GRSE,GARDEN REACH SHIP&ENG LTD,       195.00,       198.50,       198.50,       192.20,       193.65,                 17057711.70,87351,N, ,1762,       243.00,       102.00
N,EQ,GSCLCEMENT,GUJARAT SIDHEE CEM. LTD.,        37.35,        37.70,        38.40,        36.10,        37.25,                 10486196.75,280567,N, ,1770,        40.85,        12.50
N,EQ,GSFC,GUJ STATE FERT & CHEM LTD,        69.05,        70.60,        72.60,        70.30,        72.05,                107881064.35,1504707,N, ,6711,        97.80,        29.80
N,EQ,GSPL,GUJARAT STATE PETRO LTD,       205.35,       208.65,       214.75,       208.00,       212.85,                160332962.25,754283,N, ,16528,       263.80,       146.15
N,EQ,GSS,GSS INFOTECH LIMITED,        50.55,        51.00,        53.00,        50.40,        51.30,                  4486318.10,87049,N, ,933,        58.85,        18.50
N,EQ,GTL,GTL LTD,         4.95,         5.10,         5.15,         5.05,         5.10,                   611504.30,119318,N, ,438,         5.60,          .90
N,EQ,GTLINFRA,GTL INFRA.LTD,          .70,          .75,          .75,          .65,          .75,                 26600564.50,36821890,N, ,3570,         1.20,          .15
G,EQ,GTNTEX,GTN TEXTILES LIMITED,         6.35,         6.35,         6.35,         6.35,         6.35,                    17513.30,2758,N, ,7,         7.05,         4.60
N,EQ,GTPL,GTPL HATHWAY LIMITED,       125.70,       132.00,       134.70,       127.20,       127.95,                 32832917.15,251622,N, ,4516,       140.20,        32.35
N,EQ,GUFICBIO,GUFIC BIOSCIENCES LTD.,       118.80,       119.80,       120.35,       117.65,       118.50,                 10753041.25,90197,N, ,1367,       129.85,        37.00
N,EQ,GUJALKALI,GUJARAT ALKALIES & CHEM,       354.50,       356.25,       363.00,       348.35,       353.10,                 46592539.85,130465,N, ,3877,       450.00,       180.10
N,EQ,GUJAPOLLO,GUJ. APOLLO IND. LTD.,       197.45,       204.40,       204.40,       197.05,       201.20,                  1498599.45,7490,N, ,428,       248.70,        95.00
N,EQ,GUJGASLTD,GUJARAT GAS LIMITED,       364.10,       364.20,       379.95,       364.20,       375.70,                493984909.45,1325824,N, ,32929,       412.40,       190.50
N,EQ,GULFOILLUB,GULF OIL LUB. IND. LTD.,       730.20,       748.90,       748.90,       720.00,       725.40,                  9198719.55,12633,N, ,1661,       855.60,       455.00
N,EQ,GULFPETRO,GP PETROLEUMS LIMITED,        47.50,        48.30,        48.30,        45.90,        46.50,                  4211544.10,89672,N, ,822,        59.80,        24.45
N,EQ,GULPOLY,GULSHAN POLYOLS LIMITED,        78.25,        79.55,        80.45,        76.50,        77.15,                  1743019.30,22457,N, ,332,        90.20,        19.60
N,EQ,HAL,HINDUSTAN AERONAUTICS LTD,       804.90,       811.65,       826.45,       808.95,       822.25,                274688851.80,334943,N, ,29081,      1423.00,       470.00
N,EQ,HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD,       358.90,       358.90,       361.70,       341.70,       347.05,                855463328.35,2424058,N, ,32080,       394.95,       307.00
N,EQ,HARITASEAT,HARITA SEATING SYS. LTD,       481.00,       484.30,       484.35,       477.15,       480.20,                  1355122.55,2816,N, ,132,       533.85,       285.60
N,EQ,HARRMALAYA,HARRISON MALAYALAM LTD,       115.00,       115.85,       117.75,       112.25,       113.05,                  6220726.80,54405,N, ,915,       144.95,        44.00
N,EQ,HATHWAY,HATHWAY CABLE & DATACOM,        32.90,        34.80,        35.00,        33.20,        33.70,                 58442167.65,1710667,N, ,9783,        57.30,        10.50
N,EQ,HATSUN,HATSUN AGRO PRODUCT LTD.,       726.70,       730.00,       730.00,       713.20,       716.90,                 25045656.15,34806,N, ,2638,      1072.30,       380.00
N,EQ,HBLPOWER,HBL POWER SYSTEMS LTD.,        29.75,        30.30,        31.65,        30.30,        30.90,                 53632422.70,1722815,N, ,7048,        31.65,         9.30
N,EQ,HCC,HINDUSTAN CONSTRUCTION CO,         8.75,         8.90,         9.15,         8.65,         9.05,                 82004399.20,9073282,N, ,6068,        12.20,         3.60
N,EQ,HCG,HEALTHCARE GLOB. ENT. LTD,       165.35,       166.85,       170.40,       162.15,       164.65,                 12669091.35,76346,N, ,2707,       185.70,        62.05
N,EQ,HCL-INSYS,HCL INFOSYSTEMS LTD,         8.85,         9.10,         9.10,         8.75,         8.85,                  2717845.85,304281,N, ,950,        10.60,         3.20
N,EQ,HEG,HEG LTD,       887.95,       893.90,       907.70,       880.20,       885.30,                434067513.75,486383,N, ,19449,      1299.95,       409.60
N,EQ,HEIDELBERG,HEIDELBERGCEMENT (I) LTD,       211.15,       214.00,       218.00,       212.00,       214.80,                 73166228.10,340694,N, ,8496,       218.00,       122.00
N,EQ,HEMIPROP,HEMISPHERE PROP IND LTD,        71.95,        72.25,        73.10,        70.70,        71.45,                 54232094.55,755915,N, ,5657,        82.00,        54.40
N,EQ,HERCULES,HERCULES HOI. LTD.,       126.35,       123.40,       124.45,       120.80,       121.25,                 13587184.00,111186,N, ,2312,       136.00,        46.00
N,EQ,HERITGFOOD,HERITAGE FOODS LTD,       293.90,       299.00,       303.30,       288.35,       290.25,                 22627846.35,76870,N, ,2552,       407.95,       145.50
N,EQ,HESTERBIO,HESTER BIOSCIENCES LTD,      1754.50,      1763.25,      1775.00,      1715.00,      1732.00,                  4654283.50,2660,N, ,513,      1900.00,       864.00
N,EQ,HEXATRADEX,HEXA TRADEX LIMITED,        35.05,        35.05,        35.95,        33.55,        33.85,                   395891.65,11526,N, ,70,        41.00,        19.05
N,EQ,HFCL,HFCL LIMITED,        25.95,        26.20,        26.45,        25.15,        25.40,                300942287.55,11642916,N, ,16358,        26.45,         8.10
N,EQ,HGINFRA,H.G.INFRA ENGINEERING LTD,       215.45,       217.00,       222.00,       215.00,       218.45,                 11926297.45,54506,N, ,1763,       294.90,       126.35
N,EQ,HGS,HINDUJA GLOBAL SOLS. LTD.,      1121.90,      1130.00,      1143.25,      1095.00,      1104.70,                 14809342.10,13279,N, ,1938,      1268.00,       412.00
N,EQ,HIKAL,HIKAL LIMITED,       166.20,       166.20,       169.35,       164.00,       166.10,                 58109484.95,348571,N, ,5274,       204.55,        56.90
N,EQ,HIL,HIL LIMITED,      2231.60,      2258.00,      2269.45,      2153.30,      2183.25,                 40890427.85,18624,N, ,3780,      2273.85,       518.30
